@relation 'all_data_pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C20-L5-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,20-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.AddExpression-Ea4 + a5 + a6 + a7-NNumber legal actions-weka.filters.unsupervised.attribute.NumericToNominal-R23-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6,7-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceLegal action North-R4-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceLegal action South-R5-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceLegal action East-R6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceLegal action West-R7-weka.filters.unsupervised.attribute.AddExpression-Ea16 + a17 + a18 + a19-NTotal distance to ghosts-weka.filters.unsupervised.attribute.AddExpression-Eifelse(a21 > 620, 1, 0)-NHigh score-weka.filters.unsupervised.attribute.NumericToNominal-R25-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,20-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,21-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,24,20,21,22,23,25-weka.filters.unsupervised.attribute.Remove-R21-22-weka.filters.unsupervised.attribute.Remove-R21'

@attribute Tick numeric
@attribute 'Pacman position X' numeric
@attribute 'Pacman position Y' numeric
@attribute 'Legal action North' {0,1}
@attribute 'Legal action South' {0,1}
@attribute 'Legal action East' {0,1}
@attribute 'Legal action West' {0,1}
@attribute 'Ghosts position 1 X' numeric
@attribute 'Ghosts position 1 Y' numeric
@attribute 'Ghosts position 2 X' numeric
@attribute 'Ghosts position 2 Y' numeric
@attribute 'Ghosts position 3 X' numeric
@attribute 'Ghosts position 3 Y' numeric
@attribute 'Ghosts position 4 X' numeric
@attribute 'Ghosts position 4 Y' numeric
@attribute 'Distance to ghost 1' numeric
@attribute 'Distance to ghost 2' numeric
@attribute 'Distance to ghost 3' numeric
@attribute 'Distance to ghost 4' numeric
@attribute 'Current score' numeric
@attribute 'High score' {0,1}
@attribute 'Pacman direction' {North,South,East,West,Stop}

@data
13,6,11,0,1,1,1,5,5,5,9,7,11,15,7,7,3,1,12,-12,0,East
14,7,11,0,0,1,1,5,5,5,10,5,1,14,7,8,3,?,11,187,0,East
15,8,11,0,0,1,1,5,4,5,11,5,1,14,7,10,3,?,10,186,0,East
16,7,11,0,0,1,1,4,4,5,10,5,1,14,7,10,3,?,10,185,0,West
17,6,11,0,1,1,1,4,5,5,10,5,1,14,8,8,2,?,12,184,0,West
18,6,10,1,1,0,1,3,5,5,9,5,1,14,7,8,2,?,10,183,0,South
19,6,9,1,1,1,1,3,5,5,9,5,1,14,8,7,1,?,8,182,0,South
20,6,8,1,1,1,1,4,5,4,9,5,1,13,8,5,3,?,6,181,0,South
21,5,8,1,1,1,1,4,5,4,8,5,1,12,8,4,1,?,7,180,0,West
22,4,8,1,1,1,1,4,5,3,1,5,1,12,8,3,?,?,9,379,0,West
23,4,9,0,1,1,1,5,5,3,1,5,1,12,9,5,?,?,9,378,0,North
24,3,9,0,1,1,1,5,4,3,1,5,1,13,9,7,?,?,9,377,0,West
25,3,8,1,1,1,1,4,4,3,1,5,1,12,9,5,?,?,11,376,0,South
26,4,8,1,1,1,1,4,3,3,1,5,1,13,9,5,?,?,11,375,0,East
27,5,8,1,1,1,1,4,4,3,1,5,1,14,9,5,?,?,9,374,0,East
28,6,8,1,1,1,1,4,4,3,1,5,1,14,8,6,?,?,9,373,0,East
29,7,8,1,1,1,1,4,3,3,1,5,1,14,7,8,?,?,9,372,0,East
30,8,8,1,1,1,1,5,3,3,1,5,1,14,6,8,?,?,7,371,0,East
31,8,7,1,1,1,1,4,3,3,1,5,1,14,7,8,?,?,7,370,0,South
32,9,7,1,1,1,1,3,3,3,1,5,1,14,8,10,?,?,7,369,0,East
33,10,7,1,1,0,1,3,3,3,1,5,1,15,8,11,?,?,6,368,0,East
34,10,8,1,1,0,1,3,3,3,1,5,1,15,8,12,?,?,6,367,0,North
35,10,9,1,1,1,1,3,4,3,1,5,1,15,9,12,?,?,4,366,0,North
36,11,9,1,0,1,1,4,4,3,1,5,1,14,9,12,?,?,4,365,0,East
37,12,9,0,1,1,1,3,4,3,1,5,1,14,10,14,?,?,3,364,0,East
38,13,9,0,1,1,1,2,4,3,1,5,1,14,10,16,?,?,1,363,0,East
39,14,9,1,1,1,1,3,4,3,1,5,1,7,1,16,?,?,?,562,1,East
40,14,10,1,1,0,0,2,4,3,1,5,1,7,1,18,?,?,?,661,1,North
41,14,11,0,1,1,1,1,4,3,1,5,1,7,1,20,?,?,?,660,1,North
42,14,10,1,1,0,0,2,4,3,1,5,1,7,1,18,?,?,?,659,1,South
43,14,9,1,1,1,1,2,3,3,1,5,1,7,1,18,?,?,?,658,1,South
44,13,9,0,1,1,1,3,3,3,1,5,1,7,1,16,?,?,?,657,1,West
45,12,9,0,1,1,1,3,4,3,1,5,1,7,1,14,?,?,?,656,1,West
46,11,9,1,0,1,1,2,4,3,1,5,1,7,1,14,?,?,?,655,1,West
47,10,9,1,1,1,1,3,4,3,1,5,1,7,1,12,?,?,?,654,1,West
48,9,9,0,1,1,1,2,4,3,1,5,1,7,1,12,?,?,?,653,1,West
49,8,9,0,1,1,1,2,3,3,1,5,1,7,1,12,?,?,?,652,1,West
50,8,8,1,1,1,1,2,3,3,1,5,1,7,1,11,?,?,?,651,1,South
51,8,7,1,1,1,1,2,3,3,1,5,1,7,1,10,?,?,?,650,1,South
52,8,6,1,1,1,0,2,4,3,1,5,1,7,1,8,?,?,?,649,1,South
53,8,5,1,1,1,1,3,4,3,1,5,1,7,1,6,?,?,?,648,1,South
54,8,4,1,1,1,1,3,3,3,1,5,1,7,1,6,?,?,?,647,1,South
55,8,3,1,0,1,1,3,4,3,1,5,1,7,1,6,?,?,?,646,1,South
56,7,3,1,0,1,1,4,4,3,1,5,1,7,1,4,?,?,?,645,1,West
57,6,3,1,0,1,1,3,4,3,1,5,1,7,1,4,?,?,?,644,1,West
58,5,3,1,0,1,1,4,4,3,1,5,1,7,1,2,?,?,?,643,1,West
4,2,11,0,0,1,1,7,4,5,10,7,11,14,6,12,4,5,16,-3,0,East
5,3,11,0,0,1,1,8,4,5,11,8,11,14,7,12,2,5,16,-4,0,East
6,4,11,0,0,1,1,9,4,6,11,9,11,14,6,12,2,5,14,-5,0,East
7,5,11,0,1,1,1,9,3,7,11,10,11,14,7,12,2,5,13,-6,0,East
8,6,11,0,1,1,1,10,3,3,1,11,11,14,7,12,?,5,11,193,0,East
9,7,11,0,0,1,1,11,3,3,1,12,11,13,7,12,?,5,11,192,0,East
10,8,11,0,0,1,1,10,3,3,1,13,11,14,7,10,?,5,9,191,0,East
11,9,11,0,0,1,1,10,4,3,1,14,11,13,7,8,?,5,7,190,0,East
12,10,11,0,1,1,1,10,3,3,1,14,10,12,7,8,?,5,7,189,0,East
13,11,11,0,1,1,1,9,3,3,1,14,9,13,7,10,?,5,6,188,0,East
14,12,11,0,0,1,1,8,3,3,1,14,10,13,7,12,?,3,4,187,0,East
15,13,11,0,0,1,1,8,4,3,1,14,11,13,8,12,?,1,4,186,0,East
16,14,11,0,1,1,1,9,4,3,1,5,1,13,7,12,?,?,4,385,0,East
17,15,11,0,0,1,1,10,4,3,1,5,1,13,8,12,?,?,6,384,0,East
18,16,11,0,0,1,1,10,3,3,1,5,1,12,8,14,?,?,6,383,0,East
19,17,11,0,0,1,1,10,4,3,1,5,1,12,9,14,?,?,7,382,0,East
20,18,11,0,1,0,1,10,3,3,1,5,1,12,9,16,?,?,7,381,0,East
21,18,10,1,1,0,0,11,3,3,1,5,1,13,9,14,?,?,5,380,0,South
22,18,9,1,1,0,1,11,3,3,1,5,1,14,9,13,?,?,5,379,0,South
23,18,8,1,1,0,1,11,4,3,1,5,1,13,9,11,?,?,6,378,0,South
24,17,8,1,1,1,1,11,4,3,1,5,1,13,9,10,?,?,5,377,0,West
25,16,8,1,1,1,1,11,4,3,1,5,1,13,9,9,?,?,3,376,0,West
26,16,9,0,1,1,1,10,4,3,1,5,1,14,9,11,?,?,3,375,0,North
27,15,9,0,1,1,1,10,5,3,1,5,1,14,8,9,?,?,3,374,0,West
28,14,9,1,1,1,1,10,4,3,1,5,1,13,8,9,?,?,3,373,0,West
29,13,9,0,1,1,1,10,5,3,1,5,1,13,7,7,?,?,2,372,0,West
30,12,9,0,1,1,1,10,5,3,1,5,1,13,7,6,?,?,4,371,0,West
31,12,8,1,1,1,0,11,5,3,1,5,1,14,7,4,?,?,4,370,0,South
32,12,7,1,0,1,0,12,5,3,1,5,1,14,6,2,?,?,4,369,0,South
33,13,7,1,0,1,1,11,5,3,1,5,1,14,5,4,?,?,3,368,0,East
34,14,7,1,1,1,1,11,5,3,1,5,1,14,5,5,?,?,3,367,0,East
35,14,6,1,1,0,0,11,4,3,1,5,1,15,5,5,?,?,2,366,0,South
36,14,5,1,1,1,1,10,4,3,1,5,1,15,5,5,?,?,1,365,0,South
37,14,4,1,1,1,1,10,3,3,1,5,1,15,5,5,?,?,1,364,0,South
38,15,4,1,1,1,1,9,3,3,1,5,1,14,5,7,?,?,3,363,0,East
39,16,4,1,1,1,1,8,3,3,1,5,1,14,6,9,?,?,5,362,0,East
40,16,5,0,1,1,1,8,3,3,1,5,1,14,7,10,?,?,5,361,0,North
41,15,5,0,1,1,1,9,3,3,1,5,1,13,7,8,?,?,5,360,0,West
42,14,5,1,1,1,1,10,3,3,1,5,1,13,8,6,?,?,3,359,0,West
43,13,5,0,1,1,1,9,3,3,1,5,1,14,8,6,?,?,3,358,0,West
44,12,5,0,0,1,1,9,4,3,1,5,1,14,7,4,?,?,5,357,0,West
45,13,5,0,1,1,1,9,5,3,1,5,1,15,7,4,?,?,5,356,0,East
46,14,5,1,1,1,1,9,6,3,1,5,1,15,8,6,?,?,3,355,0,East
47,14,6,1,1,0,0,10,6,3,1,5,1,15,7,4,?,?,3,354,0,North
48,14,7,1,1,1,1,9,6,3,1,5,1,16,7,6,?,?,3,353,0,North
49,15,7,1,0,1,1,9,6,3,1,5,1,17,7,7,?,?,1,352,0,East
50,16,7,1,0,1,1,8,6,3,1,5,1,7,1,9,?,?,?,551,0,East
51,17,7,1,0,1,1,8,6,3,1,5,1,7,1,10,?,?,?,550,0,East
52,18,7,1,1,0,1,8,5,3,1,5,1,7,1,12,?,?,?,549,0,East
53,17,7,1,0,1,1,8,5,3,1,5,1,7,1,11,?,?,?,548,0,West
54,16,7,1,0,1,1,8,5,3,1,5,1,7,1,10,?,?,?,547,0,West
55,15,7,1,0,1,1,9,5,3,1,5,1,7,1,8,?,?,?,546,0,West
56,14,7,1,1,1,1,10,5,3,1,5,1,7,1,6,?,?,?,545,0,West
57,14,6,1,1,0,0,10,5,3,1,5,1,7,1,5,?,?,?,544,0,South
58,14,5,1,1,1,1,10,5,3,1,5,1,7,1,4,?,?,?,543,0,South
59,13,5,0,1,1,1,10,5,3,1,5,1,7,1,3,?,?,?,542,0,West
60,12,5,0,0,1,1,10,5,3,1,5,1,7,1,2,?,?,?,541,0,West
3,2,11,0,0,1,1,6,5,5,10,9,11,14,7,10,4,7,15,-2,0,East
4,3,11,0,0,1,1,6,4,6,10,8,11,13,7,10,4,5,13,-3,0,East
5,4,11,0,0,1,1,6,3,6,10,9,11,12,7,10,3,5,13,-4,0,East
6,5,11,0,1,1,1,6,3,6,11,10,11,13,7,9,1,5,11,-5,0,East
7,5,10,1,1,1,0,5,3,6,10,10,11,12,7,7,1,6,10,-6,0,South
8,5,9,1,1,1,1,5,4,5,10,10,10,12,7,5,1,6,8,-7,0,South
9,5,10,1,1,1,0,5,3,3,1,10,11,12,8,7,?,6,9,192,0,North
10,5,11,0,1,1,1,6,3,3,1,9,11,12,8,9,?,4,11,191,0,North
11,6,11,0,1,1,1,5,3,3,1,10,11,12,7,9,?,4,10,190,0,East
12,7,11,0,0,1,1,5,3,3,1,10,10,12,7,10,?,4,10,189,0,East
13,8,11,0,0,1,1,6,3,3,1,10,11,13,7,10,?,2,8,188,0,East
14,9,11,0,0,1,1,5,3,3,1,10,11,12,7,12,?,1,8,187,0,East
15,10,11,0,1,1,1,5,4,3,1,5,1,13,7,12,?,?,8,386,0,East
16,10,10,1,1,1,0,5,4,3,1,5,1,14,7,11,?,?,7,385,0,South
17,11,10,1,1,0,1,6,4,3,1,5,1,14,7,11,?,?,7,384,0,East
18,11,10,1,1,0,1,7,4,3,1,5,1,14,6,10,?,?,7,383,0,East
19,11,10,1,1,0,1,7,4,3,1,5,1,14,6,10,?,?,6,382,0,East
20,11,9,1,0,1,1,7,4,3,1,5,1,14,7,9,?,?,4,381,0,South
21,12,9,0,1,1,1,7,4,3,1,5,1,14,8,10,?,?,3,380,0,East
22,13,9,0,1,1,1,6,4,3,1,5,1,14,8,12,?,?,1,379,0,East
23,14,9,1,1,1,1,7,4,3,1,5,1,7,1,12,?,?,?,578,0,East
24,14,8,1,1,1,1,6,4,3,1,5,1,7,1,12,?,?,?,577,0,South
25,14,7,1,1,1,1,7,4,3,1,5,1,7,1,10,?,?,?,576,0,South
26,13,7,1,0,1,1,6,4,3,1,5,1,7,1,10,?,?,?,575,0,West
27,12,7,1,0,1,0,5,4,3,1,5,1,7,1,10,?,?,?,574,0,West
28,12,7,1,0,1,0,5,4,3,1,5,1,7,1,10,?,?,?,573,0,West
29,12,7,1,0,1,0,5,5,3,1,5,1,7,1,9,?,?,?,572,0,West
30,12,7,1,0,1,0,4,5,3,1,5,1,7,1,10,?,?,?,571,0,West
31,13,7,1,0,1,1,3,5,3,1,5,1,7,1,12,?,?,?,570,0,East
32,14,7,1,1,1,1,2,5,3,1,5,1,7,1,14,?,?,?,569,0,East
33,14,6,1,1,0,0,3,5,3,1,5,1,7,1,12,?,?,?,568,0,South
34,14,5,1,1,1,1,4,5,3,1,5,1,7,1,10,?,?,?,567,0,South
35,13,5,0,1,1,1,5,5,3,1,5,1,7,1,8,?,?,?,566,0,West
36,12,5,0,0,1,1,5,4,3,1,5,1,7,1,8,?,?,?,565,0,West
37,11,5,0,1,1,1,4,4,3,1,5,1,7,1,8,?,?,?,564,0,West
38,10,5,1,1,1,1,4,4,3,1,5,1,7,1,7,?,?,?,563,0,West
39,9,5,1,1,1,1,3,4,3,1,5,1,7,1,7,?,?,?,562,0,West
40,8,5,1,1,1,1,3,5,3,1,5,1,7,1,5,?,?,?,561,0,West
41,7,5,0,1,1,1,3,5,3,1,5,1,7,1,4,?,?,?,560,0,West
3,2,11,0,0,1,1,7,5,5,9,8,11,14,5,11,5,6,17,-2,0,East
4,3,11,0,0,1,1,7,4,5,9,9,11,13,5,11,4,6,15,-3,0,East
5,4,11,0,0,1,1,7,3,5,8,10,11,12,5,11,4,6,14,-4,0,East
6,5,11,0,1,1,1,7,3,5,9,10,10,12,5,10,2,6,12,-5,0,East
7,6,11,0,1,1,1,8,3,6,9,10,11,11,5,10,2,4,10,-6,0,East
8,7,11,0,0,1,1,8,3,6,10,9,11,10,5,9,2,2,8,-7,0,East
9,8,11,0,0,1,1,8,4,6,10,9,11,9,5,7,3,1,6,-8,0,East
10,9,11,0,0,1,1,7,4,6,10,5,1,9,6,9,4,?,4,191,0,East
11,10,11,0,1,1,1,7,5,6,11,5,1,9,7,9,4,?,6,190,0,East
12,10,10,1,1,1,0,7,5,7,11,5,1,9,6,8,4,?,4,189,0,South
13,10,9,1,1,1,1,7,5,7,11,5,1,10,6,7,5,?,2,188,0,South
14,10,8,1,1,0,1,6,5,6,11,5,1,10,7,7,7,?,?,387,0,South
15,10,7,1,1,0,1,6,5,7,11,5,1,7,1,6,7,?,?,386,0,South
16,10,6,1,1,0,1,6,5,8,11,5,1,7,1,5,7,?,?,485,0,South
17,10,5,1,1,1,1,5,5,7,11,5,1,7,1,5,9,?,?,484,0,South
18,9,5,1,1,1,1,5,5,6,11,5,1,7,1,4,9,?,?,483,0,West
19,8,5,1,1,1,1,6,5,5,11,5,1,7,1,2,9,?,?,482,0,West
20,7,5,0,1,1,1,6,4,5,10,5,1,7,1,2,7,?,?,481,1,West
21,6,5,0,1,1,1,1,1,5,11,5,1,7,1,?,7,?,?,680,1,West
22,5,5,0,1,1,1,1,1,5,11,5,1,7,1,?,6,?,?,679,1,West
23,4,5,0,1,1,1,1,1,5,11,5,1,7,1,?,7,?,?,678,1,West
24,3,5,0,1,1,1,1,1,6,11,5,1,7,1,?,9,?,?,677,1,West
25,4,5,0,1,1,1,1,1,6,11,5,1,7,1,?,8,?,?,676,1,East
26,5,5,0,1,1,1,1,1,7,11,5,1,7,1,?,8,?,?,675,1,East
27,6,5,0,1,1,1,1,1,8,11,5,1,7,1,?,8,?,?,674,1,East
28,7,5,0,1,1,1,1,1,8,11,5,1,7,1,?,7,?,?,673,1,East
29,8,5,1,1,1,1,1,1,9,11,5,1,7,1,?,7,?,?,672,1,East
30,8,6,1,1,1,0,1,1,10,11,5,1,7,1,?,7,?,?,671,1,North
31,8,7,1,1,1,1,1,1,9,11,5,1,7,1,?,5,?,?,670,1,North
32,9,7,1,1,1,1,1,1,9,11,5,1,7,1,?,4,?,?,669,1,East
33,10,7,1,1,0,1,1,1,9,11,5,1,7,1,?,5,?,?,668,1,East
34,10,8,1,1,0,1,1,1,8,11,5,1,7,1,?,5,?,?,667,1,North
35,10,9,1,1,1,1,1,1,7,11,5,1,7,1,?,5,?,?,666,1,North
36,10,10,1,1,1,0,1,1,7,11,5,1,7,1,?,4,?,?,665,1,North
37,10,11,0,1,1,1,1,1,8,11,5,1,7,1,?,2,?,?,664,1,North
4,2,11,0,0,1,1,6,4,7,8,9,11,14,6,11,8,7,16,-3,0,East
5,3,11,0,0,1,1,7,4,7,8,10,11,14,7,11,7,7,14,-4,0,East
6,4,11,0,0,1,1,7,5,6,8,10,10,14,8,9,5,7,13,-5,0,East
7,5,11,0,1,1,1,7,5,6,8,10,9,14,8,8,4,7,11,-6,0,East
8,6,11,0,1,1,1,7,5,6,7,10,8,14,9,7,4,7,10,-7,0,East
9,7,11,0,0,1,1,7,4,6,8,10,8,14,9,7,4,6,10,-8,0,East
10,8,11,0,0,1,1,7,4,6,8,9,8,14,8,8,5,4,10,-9,0,East
11,9,11,0,0,1,1,7,5,6,9,8,8,14,7,8,5,4,10,-10,0,East
12,10,11,0,1,1,1,7,4,6,8,9,8,15,7,10,7,4,9,-11,0,East
13,10,10,1,1,1,0,6,4,5,8,9,7,15,7,10,7,4,9,-12,0,South
14,10,9,1,1,1,1,6,4,5,9,8,7,16,7,9,5,4,9,-13,0,South
15,10,8,1,1,0,1,6,3,5,10,8,6,17,7,9,7,4,9,-14,0,South
16,10,7,1,1,0,1,6,3,5,10,8,7,18,7,8,8,2,9,-15,0,South
17,9,7,1,1,1,1,7,3,6,10,8,6,18,8,6,6,2,10,-16,0,West
18,8,7,1,1,1,1,7,4,5,10,8,5,18,8,4,6,2,12,-17,0,West
19,8,6,1,1,1,0,7,3,5,9,7,5,18,9,4,6,2,12,-18,0,South
20,8,7,1,1,1,1,6,3,4,9,8,5,17,9,6,6,2,10,-19,0,North
21,8,8,1,1,1,1,7,3,4,9,8,5,16,9,6,5,3,8,-20,0,North
22,7,8,1,1,1,1,7,4,3,9,8,4,16,8,4,5,5,9,-21,0,West
23,6,8,1,1,1,1,6,4,3,8,8,3,16,8,4,3,7,10,-22,0,West
24,6,9,1,1,1,1,5,4,3,9,8,4,16,8,6,3,7,10,-23,0,North
25,5,9,1,1,1,1,6,4,3,9,8,5,15,8,6,2,7,12,-24,0,West
26,4,9,0,1,1,1,7,4,3,1,9,5,15,7,8,?,9,12,175,0,West
27,3,9,0,1,1,1,7,5,3,1,8,5,15,8,8,?,9,12,174,0,West
28,3,8,1,1,1,1,8,5,3,1,8,6,14,8,8,?,7,12,173,0,South
29,4,8,1,1,1,1,8,6,3,1,8,5,15,8,6,?,7,10,172,0,East
30,5,8,1,1,1,1,8,6,3,1,8,6,14,8,5,?,5,9,171,0,East
31,6,8,1,1,1,1,8,6,3,1,8,7,14,8,4,?,3,7,170,0,East
32,7,8,1,1,1,1,9,6,3,1,8,7,13,8,4,?,2,7,169,0,East
33,7,7,1,0,1,1,9,7,3,1,8,6,14,8,2,?,2,9,168,0,South
34,7,7,1,0,1,1,8,7,3,1,8,7,15,8,1,?,1,8,167,0,South
35,8,7,1,1,1,1,1,1,3,1,5,1,14,8,?,?,?,6,566,0,East
36,9,7,1,1,1,1,1,1,3,1,5,1,13,8,?,?,?,6,565,0,East
37,10,7,1,1,0,1,1,1,3,1,5,1,13,9,?,?,?,4,564,0,East
38,10,8,1,1,0,1,1,1,3,1,5,1,12,9,?,?,?,3,563,0,North
39,10,9,1,1,1,1,1,1,3,1,5,1,12,9,?,?,?,3,562,0,North
40,11,9,1,0,1,1,1,1,3,1,5,1,12,8,?,?,?,3,561,0,East
41,12,9,0,1,1,1,1,1,3,1,5,1,13,8,?,?,?,1,560,0,East
42,13,9,0,1,1,1,1,1,3,1,5,1,12,8,?,?,?,2,559,0,East
43,14,9,1,1,1,1,1,1,3,1,5,1,12,8,?,?,?,2,558,1,East
44,14,10,1,1,0,0,1,1,3,1,5,1,13,8,?,?,?,3,657,1,North
45,14,11,0,1,1,1,1,1,3,1,5,1,13,8,?,?,?,3,656,1,North
46,14,10,1,1,0,0,1,1,3,1,5,1,14,8,?,?,?,3,655,1,South
47,14,9,1,1,1,1,1,1,3,1,5,1,14,7,?,?,?,3,654,1,South
48,14,8,1,1,1,1,1,1,3,1,5,1,13,7,?,?,?,1,653,1,South
49,14,7,1,1,1,1,1,1,3,1,5,1,13,8,?,?,?,2,652,1,South
50,14,6,1,1,0,0,1,1,3,1,5,1,13,8,?,?,?,3,651,1,South
51,14,7,1,1,1,1,1,1,3,1,5,1,13,8,?,?,?,3,650,1,North
52,14,8,1,1,1,1,1,1,3,1,5,1,13,9,?,?,?,3,649,1,North
53,14,9,1,1,1,1,1,1,3,1,5,1,12,9,?,?,?,2,648,1,North
54,13,9,0,1,1,1,1,1,3,1,5,1,12,9,?,?,?,2,647,1,West
55,12,9,0,1,1,1,1,1,3,1,5,1,12,8,?,?,?,2,646,1,West
56,11,9,1,0,1,1,1,1,3,1,5,1,12,7,?,?,?,2,645,1,West
57,11,10,1,1,0,1,1,1,3,1,5,1,12,8,?,?,?,3,644,1,North
58,11,9,1,0,1,1,1,1,3,1,5,1,12,8,?,?,?,3,643,1,South
59,12,9,0,1,1,1,1,1,3,1,5,1,13,8,?,?,?,1,642,1,East
60,13,9,0,1,1,1,1,1,3,1,5,1,12,8,?,?,?,3,641,1,East
5,2,18,0,0,1,1,5,9,11,5,17,6,25,14,12,22,27,26,-4,0,East
6,3,18,0,0,1,1,4,9,11,5,17,5,25,15,10,21,27,26,-5,0,East
7,4,18,0,0,1,1,5,9,11,4,17,4,25,14,10,21,27,25,-6,0,East
8,5,18,0,0,1,1,6,9,10,4,18,4,25,14,10,19,27,24,-7,0,East
9,6,18,0,0,1,1,6,9,9,4,17,4,25,14,9,17,25,24,-8,0,East
10,7,18,0,0,1,1,6,10,9,5,17,5,25,13,9,15,23,22,-9,0,East
11,8,18,0,0,1,1,6,10,9,5,17,4,25,14,10,14,23,21,-10,0,East
12,9,18,0,0,1,1,6,9,8,5,16,4,25,14,12,14,21,21,-11,0,East
13,10,18,0,0,1,1,6,8,9,5,16,3,25,13,14,14,21,19,-12,0,East
14,11,18,0,0,1,1,6,9,9,4,16,4,25,14,14,16,19,17,-13,0,East
15,12,18,0,0,1,1,6,9,8,4,16,4,24,14,15,18,18,17,-14,0,East
16,13,18,0,0,1,1,5,9,8,4,16,4,25,14,17,19,17,15,-15,0,East
17,14,18,0,1,1,1,5,10,8,3,17,4,25,15,17,21,17,15,-16,0,East
18,15,18,0,1,1,1,5,9,8,4,18,4,25,14,19,21,17,15,-17,0,East
19,16,18,0,1,1,1,4,9,8,5,18,3,25,13,21,21,17,14,-18,0,East
20,16,17,1,1,1,1,3,9,8,4,19,3,25,13,21,21,17,12,-19,0,South
21,16,16,1,1,1,1,4,9,8,3,19,4,25,14,19,21,15,10,-20,0,South
22,16,15,1,1,1,1,4,9,8,3,19,3,24,14,18,20,15,9,-21,0,South
23,17,15,1,1,0,1,4,8,8,4,20,3,24,14,20,20,15,7,-22,0,East
24,17,15,1,1,0,1,4,9,8,5,21,3,24,15,19,19,16,8,-23,0,East
25,17,15,1,1,0,1,4,10,9,5,21,4,25,15,18,18,15,8,-24,0,East
26,17,14,1,1,1,1,4,10,8,5,21,3,25,15,17,18,15,9,-25,0,South
27,18,14,0,1,1,1,4,10,8,6,22,3,25,15,18,18,15,9,-26,0,East
28,19,14,0,1,1,1,4,10,8,5,23,3,25,16,19,20,15,7,-27,0,East
29,20,14,1,1,0,1,5,10,8,5,22,3,25,15,19,21,13,5,-28,0,East
30,20,15,1,1,1,0,5,9,8,4,23,3,24,15,21,23,15,5,-29,0,North
31,21,15,1,0,1,1,5,10,8,4,23,3,24,16,21,24,14,4,-30,0,East
32,22,15,1,1,1,1,4,10,8,5,22,3,24,16,23,24,12,2,-31,0,East
33,23,15,1,1,1,1,5,10,9,5,22,4,24,15,23,24,12,2,-32,0,East
34,23,16,0,1,1,1,5,9,9,4,22,4,24,14,25,26,13,3,-33,0,North
35,24,16,0,1,1,1,5,10,10,4,22,3,24,14,25,26,15,1,-34,0,East
36,25,16,1,1,0,1,5,10,10,5,22,3,24,15,26,26,16,3,-35,0,East
37,25,15,1,1,0,1,5,10,10,4,22,4,24,14,25,26,14,1,-36,0,South
38,24,15,1,1,1,1,5,10,9,4,21,4,7,1,24,26,14,?,163,0,West
39,23,15,1,1,1,1,4,10,9,4,20,4,7,1,24,25,14,?,162,0,West
40,22,15,1,1,1,1,3,10,9,4,20,4,7,1,24,24,13,?,161,0,West
41,21,15,1,0,1,1,4,10,10,4,20,5,7,1,22,22,11,?,160,0,West
42,20,15,1,1,1,0,5,10,11,4,20,6,7,1,20,20,9,?,159,0,West
43,20,14,1,1,0,1,4,10,11,5,20,6,7,1,20,18,8,?,158,0,South
44,20,13,1,1,0,1,3,10,11,5,21,6,7,1,20,17,8,?,157,0,South
45,20,12,1,1,0,1,3,9,10,5,20,6,7,1,20,17,6,?,156,0,South
46,20,11,1,1,0,1,3,10,10,6,20,5,7,1,18,15,6,?,155,0,South
47,20,10,1,0,1,1,3,9,10,6,20,5,7,1,18,14,5,?,154,0,South
48,21,10,0,0,1,1,3,9,10,7,20,4,7,1,19,14,7,?,153,0,East
49,22,10,1,0,1,1,3,9,10,6,21,4,7,1,20,16,7,?,152,0,East
50,23,10,1,1,1,1,4,9,10,7,21,3,7,1,20,16,9,?,151,0,East
51,23,9,1,1,1,0,5,9,10,7,20,3,7,1,18,15,9,?,150,0,South
52,23,8,1,1,1,1,5,10,9,7,20,4,7,1,20,15,7,?,149,0,South
53,23,7,1,1,1,0,5,9,8,7,21,4,7,1,20,15,5,?,148,0,South
54,23,6,1,1,1,1,6,9,8,6,20,4,7,1,20,15,5,?,147,0,South
55,23,5,1,1,1,0,5,9,9,6,20,4,7,1,22,15,4,?,146,0,South
56,23,4,1,1,1,1,6,9,9,6,20,5,7,1,22,16,4,?,145,0,South
57,22,4,0,1,1,1,6,10,9,5,20,5,7,1,22,14,3,?,144,0,West
