@relation 'all_data_pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C20-L5-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,20-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.AddExpression-Ea4 + a5 + a6 + a7-NNumber legal actions-weka.filters.unsupervised.attribute.NumericToNominal-R23-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6,7-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceLegal action North-R4-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceLegal action South-R5-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceLegal action East-R6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceLegal action West-R7-weka.filters.unsupervised.attribute.AddExpression-Ea16 + a17 + a18 + a19-NTotal distance to ghosts-weka.filters.unsupervised.attribute.AddExpression-Eifelse(a21 > 620, 1, 0)-NHigh score-weka.filters.unsupervised.attribute.NumericToNominal-R25-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,20-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,21-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,24,20,21,22,23,25-weka.filters.unsupervised.attribute.Remove-R21-22-weka.filters.unsupervised.attribute.Remove-R21'

@attribute Tick numeric
@attribute 'Pacman position X' numeric
@attribute 'Pacman position Y' numeric
@attribute 'Legal action North' {0,1}
@attribute 'Legal action South' {0,1}
@attribute 'Legal action East' {0,1}
@attribute 'Legal action West' {0,1}
@attribute 'Ghosts position 1 X' numeric
@attribute 'Ghosts position 1 Y' numeric
@attribute 'Ghosts position 2 X' numeric
@attribute 'Ghosts position 2 Y' numeric
@attribute 'Ghosts position 3 X' numeric
@attribute 'Ghosts position 3 Y' numeric
@attribute 'Ghosts position 4 X' numeric
@attribute 'Ghosts position 4 Y' numeric
@attribute 'Distance to ghost 1' numeric
@attribute 'Distance to ghost 2' numeric
@attribute 'Distance to ghost 3' numeric
@attribute 'Distance to ghost 4' numeric
@attribute 'Current score' numeric
@attribute 'High score' {0,1}
@attribute 'Pacman direction' {North,South,East,West,Stop}

@data
46,2,14,0,1,1,1,1,13,8,7,5,1,11,6,2,13,?,17,155,0,West
47,2,13,1,0,1,1,1,13,8,7,5,1,11,6,1,12,?,17,154,0,South
48,2,13,1,0,1,1,1,1,8,8,5,1,12,6,?,11,?,16,353,0,South
49,3,13,1,0,0,1,1,1,7,8,5,1,11,6,?,9,?,16,352,0,East
50,2,13,1,0,1,1,1,1,8,8,5,1,12,6,?,11,?,16,351,0,West
51,3,13,1,0,0,1,1,1,8,8,5,1,11,6,?,10,?,16,350,0,East
52,3,14,0,1,1,1,1,1,8,7,5,1,12,6,?,12,?,16,349,0,North
53,4,14,0,0,1,1,1,1,8,6,5,1,11,6,?,12,?,15,348,0,East
54,5,14,0,0,1,1,1,1,8,7,5,1,11,6,?,10,?,15,347,0,East
55,6,14,0,0,1,1,1,1,8,6,5,1,12,6,?,10,?,14,346,0,East
56,7,14,0,0,1,1,1,1,8,6,5,1,12,6,?,9,?,13,345,0,East
57,8,14,0,1,1,1,1,1,7,6,5,1,12,6,?,9,?,11,344,0,East
58,9,14,0,1,1,1,1,1,6,6,5,1,11,6,?,11,?,9,343,0,East
59,9,13,1,1,1,1,1,1,7,6,5,1,11,7,?,9,?,9,342,0,South
60,9,12,1,1,1,1,1,1,8,6,5,1,11,6,?,7,?,7,341,0,South
61,9,11,1,0,1,1,1,1,8,6,5,1,11,7,?,6,?,5,340,0,South
62,10,11,1,1,1,1,1,1,8,7,5,1,10,7,?,6,?,4,339,0,East
63,11,11,1,1,1,1,1,1,8,6,5,1,10,7,?,8,?,5,338,0,East
64,11,10,1,1,1,1,1,1,8,7,5,1,10,7,?,6,?,4,337,0,South
65,11,9,1,1,1,1,1,1,8,8,5,1,10,7,?,4,?,4,336,0,South
66,11,8,1,1,0,1,1,1,8,7,5,1,10,6,?,4,?,3,335,0,South
67,11,7,1,1,1,1,1,1,8,6,5,1,10,6,?,4,?,1,334,0,South
68,11,6,1,1,1,1,1,1,7,6,5,1,10,7,?,4,?,1,333,0,South
69,11,5,1,1,1,1,1,1,8,6,5,1,11,7,?,4,?,3,332,0,South
70,11,4,1,1,1,1,1,1,8,6,5,1,12,7,?,5,?,5,331,0,South
71,11,5,1,1,1,1,1,1,8,6,5,1,13,7,?,4,?,3,330,0,North
72,11,6,1,1,1,1,1,1,8,7,5,1,12,7,?,4,?,2,329,0,North
73,12,6,1,1,0,1,1,1,8,8,5,1,12,7,?,6,?,2,328,0,East
74,12,6,1,1,0,1,1,1,8,8,5,1,11,7,?,6,?,3,327,0,East
75,12,7,0,1,1,1,1,1,8,7,5,1,10,7,?,4,?,1,326,0,North
76,11,7,1,1,1,1,1,1,8,8,5,1,7,1,?,4,?,?,525,0,West
77,10,7,1,1,1,0,1,1,8,7,5,1,7,1,?,2,?,?,524,0,West
78,10,8,1,1,1,1,1,1,8,6,5,1,7,1,?,4,?,?,523,0,North
79,9,8,1,0,1,1,1,1,8,7,5,1,7,1,?,2,?,?,522,0,West
3,10,12,1,1,1,1,2,14,1,4,7,9,12,3,10,17,6,10,-2,0,East
4,10,11,1,1,1,1,1,14,1,5,7,9,12,4,12,15,5,10,-3,0,South
5,10,10,1,1,1,0,2,14,1,6,8,9,13,4,12,13,3,10,-4,0,South
6,10,9,1,1,1,1,1,14,2,6,8,8,13,3,14,11,3,9,-5,0,South
7,10,8,1,1,1,1,1,13,2,6,8,7,13,3,14,10,3,7,-6,0,South
8,9,8,1,0,1,1,2,13,2,6,8,7,13,4,12,9,2,9,-7,0,West
9,8,8,1,1,1,1,2,14,3,6,5,1,13,3,12,7,?,11,192,0,West
10,8,7,1,1,0,1,2,13,3,5,5,1,14,3,12,7,?,9,191,0,South
11,8,6,1,0,0,1,2,13,4,5,5,1,13,3,13,5,?,7,190,0,South
12,7,6,1,0,1,1,3,13,5,5,5,1,13,4,11,3,?,7,189,0,West
13,6,6,1,1,1,1,3,13,5,6,5,1,12,4,10,1,?,9,188,0,West
14,5,6,1,1,1,1,2,13,3,1,5,1,13,4,10,?,?,9,387,0,West
15,5,5,1,1,1,1,2,13,3,1,5,1,13,5,11,?,?,8,386,0,South
16,5,4,1,1,1,1,2,14,3,1,5,1,13,5,13,?,?,9,385,0,South
17,6,4,1,0,1,1,2,13,3,1,5,1,13,5,13,?,?,8,384,0,East
18,6,5,1,1,0,1,2,13,3,1,5,1,13,5,12,?,?,8,383,0,North
19,6,6,1,1,1,1,2,14,3,1,5,1,14,5,12,?,?,9,382,0,North
20,6,7,1,1,1,1,1,14,3,1,5,1,14,5,12,?,?,9,381,0,North
21,6,8,1,1,1,1,1,13,3,1,5,1,13,5,10,?,?,9,380,0,North
22,6,9,0,1,1,1,2,13,3,1,5,1,12,5,8,?,?,11,379,0,North
23,7,9,0,1,1,1,3,13,3,1,5,1,13,5,8,?,?,9,378,0,East
24,8,9,0,1,1,1,3,14,3,1,5,1,12,5,10,?,?,8,377,0,East
25,9,9,0,1,1,1,3,13,3,1,5,1,12,5,10,?,?,6,376,0,East
26,9,8,1,0,1,1,3,13,3,1,5,1,11,5,11,?,?,4,375,0,South
27,10,8,1,1,1,1,3,13,3,1,5,1,11,6,12,?,?,4,374,0,East
28,11,8,1,1,0,1,2,13,3,1,5,1,11,5,14,?,?,2,373,0,East
29,11,8,1,1,0,1,3,13,3,1,5,1,11,6,13,?,?,3,372,0,East
30,11,7,1,1,1,1,2,13,3,1,5,1,11,5,15,?,?,2,371,0,South
31,11,6,1,1,1,1,2,14,3,1,5,1,11,5,17,?,?,?,570,0,South
32,11,5,1,1,1,1,1,14,3,1,5,1,7,1,19,?,?,?,569,0,South
33,11,4,1,1,1,1,1,13,3,1,5,1,7,1,19,?,?,?,568,0,South
34,11,5,1,1,1,1,1,13,3,1,5,1,7,1,18,?,?,?,567,0,North
35,11,6,1,1,1,1,1,13,3,1,5,1,7,1,17,?,?,?,566,0,North
36,11,7,1,1,1,1,1,14,3,1,5,1,7,1,17,?,?,?,565,0,North
37,11,8,1,1,0,1,1,14,3,1,5,1,7,1,16,?,?,?,564,0,North
38,11,9,1,1,1,1,1,14,3,1,5,1,7,1,15,?,?,?,563,0,North
39,11,10,1,1,1,1,2,14,3,1,5,1,7,1,13,?,?,?,562,0,North
40,11,11,1,1,1,1,2,13,3,1,5,1,7,1,11,?,?,?,561,0,North
41,11,12,1,1,1,1,3,13,3,1,5,1,7,1,9,?,?,?,560,0,North
42,10,12,1,1,1,1,3,14,3,1,5,1,7,1,9,?,?,?,559,0,West
43,10,13,1,1,1,1,3,13,3,1,5,1,7,1,7,?,?,?,558,0,North
44,10,14,0,1,1,1,3,14,3,1,5,1,7,1,7,?,?,?,557,0,North
45,9,14,0,1,1,1,4,14,3,1,5,1,7,1,5,?,?,?,556,0,West
46,8,14,0,1,1,1,4,14,3,1,5,1,7,1,4,?,?,?,555,0,West
47,7,14,0,0,1,1,5,14,3,1,5,1,7,1,2,?,?,?,554,0,West
4,2,18,0,0,1,1,6,10,10,4,18,5,25,14,12,22,29,28,-3,0,East
5,3,18,0,0,1,1,6,10,9,4,19,5,25,13,11,20,29,27,-4,0,East
6,4,18,0,0,1,1,5,10,9,5,19,4,25,13,9,18,29,25,-5,0,East
