@relation all_data_pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L5

@attribute 'Legal action North' {False,True}
@attribute 'Legal action South' {False,True}
@attribute 'Legal action East' {False,True}
@attribute 'Legal action West' {False,True}
@attribute 'North ghost 1' numeric
@attribute 'South ghost 1' numeric
@attribute 'East ghost 1' numeric
@attribute 'West ghost 1' numeric
@attribute 'North ghost 2' numeric
@attribute 'South ghost 2' numeric
@attribute 'East ghost 2' numeric
@attribute 'West ghost 2' numeric
@attribute 'North ghost 3' numeric
@attribute 'South ghost 3' numeric
@attribute 'East ghost 3' numeric
@attribute 'West ghost 3' numeric
@attribute 'North ghost 4' numeric
@attribute 'South ghost 4' numeric
@attribute 'East ghost 4' numeric
@attribute 'West ghost 4' numeric
@attribute 'Pacman direction' {North,South,East,West,Stop}
@attribute 'Current score' numeric
@attribute 'Future score' numeric

@data
True,True,True,False,13,15,15,?,8,10,10,?,?,?,?,?,6,4,4,?,South,190,189
True,False,True,False,15,?,17,?,10,?,12,?,?,?,?,?,6,?,4,?,South,189,188
True,True,True,True,15,17,17,15,12,14,14,12,?,?,?,?,4,2,2,4,East,188,187
True,False,True,False,17,?,19,?,12,?,14,?,?,?,?,?,2,?,0,?,South,187,386
True,False,True,True,19,?,21,19,13,?,15,13,?,?,?,?,2,?,0,2,East,386,385
True,True,True,True,19,21,21,19,12,14,14,12,?,?,?,?,?,?,?,?,North,385,384
True,True,True,True,18,20,20,18,10,12,12,10,?,?,?,?,?,?,?,?,North,384,383
True,True,False,True,16,18,?,16,8,10,?,8,?,?,?,?,?,?,?,?,North,383,382
False,True,True,True,?,18,18,16,?,10,10,8,?,?,?,?,?,?,?,?,North,382,381
True,True,True,True,16,18,18,16,8,10,10,8,?,?,?,?,?,?,?,?,West,381,380
True,True,False,True,14,16,?,14,10,10,?,8,?,?,?,?,?,?,?,?,North,380,379
True,True,True,True,13,15,15,15,9,9,9,7,?,?,?,?,?,?,?,?,West,379,378
True,False,True,True,14,?,14,16,9,?,9,7,?,?,?,?,?,?,?,?,West,378,377
True,True,True,True,16,18,16,18,7,5,7,5,?,?,?,?,?,?,?,?,West,377,376
True,True,False,True,17,19,?,19,6,4,?,4,?,?,?,?,?,?,?,?,South,376,375
True,False,False,True,17,?,?,19,4,?,?,2,?,?,?,?,?,?,?,?,South,375,374
True,False,True,True,19,?,19,21,4,?,4,2,?,?,?,?,?,?,?,?,West,374,373
True,True,True,True,19,21,19,21,4,2,4,4,?,?,?,?,?,?,?,?,West,373,372
True,True,False,True,19,21,?,21,2,0,?,2,?,?,?,?,?,?,?,?,South,372,571
True,False,True,True,20,?,22,22,?,?,?,?,?,?,?,?,?,?,?,?,South,571,570
True,True,False,True,18,20,?,20,?,?,?,?,?,?,?,?,?,?,?,?,North,570,569
True,True,True,True,16,18,16,18,?,?,?,?,?,?,?,?,?,?,?,?,North,569,568
True,True,True,True,15,17,15,17,?,?,?,?,?,?,?,?,?,?,?,?,North,568,567
True,True,True,True,14,16,14,16,?,?,?,?,?,?,?,?,?,?,?,?,North,567,566
False,True,True,True,?,16,14,16,?,?,?,?,?,?,?,?,?,?,?,?,North,566,565
