@relation distance_raw_data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C13-L5

@attribute 'Legal action North' {False,True}
@attribute 'Legal action South' {False,True}
@attribute 'Legal action East' {False,True}
@attribute 'Legal action West' {False,True}
@attribute 'North ghost' numeric
@attribute 'South ghost' numeric
@attribute 'East ghost' numeric
@attribute 'West ghost' numeric
@attribute 'North dot' numeric
@attribute 'South dot' numeric
@attribute 'East dot' numeric
@attribute 'West dot' numeric
@attribute 'Pacman direction' {North,South,East,West,Stop}
@attribute 'Current score' numeric
@attribute 'Future score' numeric

@data
True,False,True,True,3,?,3,5,8,?,8,6,West,270,269
True,True,True,True,4,6,4,6,8,8,8,6,West,269,268
True,True,True,True,5,7,5,7,6,8,8,6,West,268,267
True,True,True,True,7,5,7,5,4,6,6,4,West,267,266
True,True,True,True,6,4,6,6,4,6,6,4,West,266,265
True,False,True,True,7,?,5,7,4,?,6,4,West,265,264
True,False,True,True,8,?,6,8,2,?,4,2,West,264,263
True,False,True,True,9,?,7,9,1,?,3,3,West,263,262
True,True,True,True,10,8,8,10,1,3,1,3,North,262,261
True,True,True,True,11,9,9,11,3,1,1,3,North,261,360
False,True,True,True,?,11,11,13,?,1,3,3,North,360,359
True,True,True,True,12,10,10,12,3,1,3,3,South,359,358
True,True,False,True,11,9,?,11,5,3,?,3,East,358,357
True,True,False,True,11,9,?,11,4,2,?,2,East,357,356
True,True,True,True,10,10,8,10,4,2,4,2,South,356,355
True,True,True,True,11,11,9,11,2,0,2,2,West,355,354
True,True,True,False,12,12,10,?,3,1,1,?,West,354,353
True,False,True,False,11,?,11,?,3,?,1,?,South,353,552
True,False,True,True,10,?,10,12,11,?,9,11,East,552,551
True,False,True,True,9,?,9,11,9,?,7,9,East,551,550
True,False,True,True,8,?,8,10,7,?,5,7,East,550,549
True,True,True,True,7,9,7,9,6,4,6,6,East,549,548
True,True,True,True,6,8,6,8,6,4,6,4,East,548,547
True,True,True,True,7,9,7,9,6,4,6,4,South,547,546
True,True,True,False,8,10,8,?,6,4,6,?,West,546,545
True,True,True,False,8,10,8,?,6,4,6,?,West,545,544
True,True,True,True,9,11,9,11,6,4,6,4,South,544,543
False,True,True,True,?,12,10,12,?,2,4,2,West,543,542
False,True,True,True,?,13,11,13,?,2,4,2,West,542,541
True,True,True,True,12,14,12,14,4,2,4,2,South,541,540
True,True,True,True,13,15,13,15,3,3,3,1,South,540,739
True,True,True,True,14,16,14,16,14,16,14,16,West,739,738
True,True,True,False,15,17,15,?,16,18,16,?,West,738,737
True,True,True,True,14,16,14,16,16,18,16,18,East,737,736
True,True,True,True,13,15,13,15,14,16,14,16,East,736,735
True,True,True,True,12,14,12,14,14,16,14,16,East,735,734
